maskedGroupId,description,subject,memberCount,creationTimestamp,announcementOnly,joinedAt,political_leaning,demographic,topic,organization,organization_type,age,region,maskedMessageId,maskedAuthorId,timestamp,body,maskedMessageReply,maskedReactions,maskedQuotedMessageId,forwardingScore,mediaHash,mediaMimeType,num_bennett_messages,percent_bennett_messages
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,07460a7502e15c3d8b9a6b1fcedd3622,0fbd458499e3285d7536418a289d70f7,2025-08-19 10:07:52,"ראש חטיבת התכנון  וכוח אדם בצה״ל שי טייב, הכריז לפני כחודשיים בוועדת חוץ וביטחון על צעדים שיאיצו את ההליך להכרזה על משתמטים. 

כעת מתברר שצה״ל החל בתקופה האחרונה לשלוח צווי  גיוס לצעירים חרדים, בהפרש של כשבועיים בלבד בין צו ראשון לצו שני והשלישי. 

המשמעות: בתוך כחודש וחצי מקבלת הצו הראשון, צעיר חרדי הופך לעריק.

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,32e64aa3a326b94eb8597a5db67f1d5a,0fbd458499e3285d7536418a289d70f7,2025-08-19 10:25:11,"שר המשפטים לוין נגד חברת מפלגתו טלי גוטליב: 

זו לא דרכנו! 

הזדעזעתי מההתנהלות המבישה של ח״כ טלי גוטליב כלפי המאבטחים בבית המשפט, ואני מגנה אותה בכל תוקף. השוואת המאבטחים, שרובם המוחלט יוצאי יחידות קרביות, ל״יודנראט״ וכינוי שלהם כ״בהמה״, לא רק שלא תורם למאבק, אלא שהוא חרפה גדולה, זילות השואה וההפך הגמור מהמסר שחבר כנסת צריך להעביר לציבור ולדור הצעיר. ההתנהגות הזו עומדת בסתירה לערכי תנועת הליכוד לאורם גדלתי והתחנכתי.  

כמי שהביא למודעות ציבורית את נושא האכיפה הבררנית הנוראה המשתוללת כאן, הבעתי לא פעם את עמדתי הנחרצת בעניין העוול שנעשה ליונתן אוריך. אבל, מאבטחי בית המשפט הם לא האחראים למצב הזה! 

ההתנהגות של ח״כ גוטליב, חוסר הכבוד שלה וחוסר הקוליגיאליות כלפי ראש הממשלה, שרים וחבריה לסיעה, ההשתלחויות שלה בחברי ליכוד נאמנים שנשאו על גבם את התנועה בימיה הקשים, והפרובוקציות שנעשות על ידה כשיטת עבודה, כל אלה עושים נזק אדיר לליכוד כשאנו בפתחה של שנת בחירות. במו ידיה היא מרחיקה מאיתנו ציבורים רבים. כל זה קורה דווקא כאשר מדי יום שוקלים להצטרף אלינו עוד רבים, שהמאבק הממושך שאני מנהל, לרבות בעניין מינוי נשיא בית המשפט העליון, חשף בפניהם את האמת על מערכת המשפט.

גדלתי על ברכיו של מנחם בגין ז״ל. הצטרפתי לליכוד לפני 34 שנה מיד עם שחרורי משירות חובה. לא עשיתי זאת ערב פריימריז רק כדי להיכנס לכנסת. פעלתי יותר משלושה עשורים בנחישות, בנחרצות ומתוך כבוד ומחויבות מוחלטת לדרך הליכוד, ולחברות וחברי התנועה. אמשיך לפעול בדרכנו ללא מורא, תוך מתן גיבוי לראש הממשלה ולחבריי בממשלה ובכנסת, איש איש בעשייתו החשובה. 

הקיצונים בקפלן לא הרתיעו ולא ירתיעו אותי.  גם הקמפיינים המכוערים נגדי, שנעשים ממניעים אישיים צרים בשם הימין כביכול, לא יזיזו אותי מדרכי כשליח נאמן לדרכה של תנועת הליכוד.

ח״כ גוטליב - תפסיקי לבייש אותנו! תתנצלי!

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,5cdd380e24062dcbcd132b0298a1b9fa,8d9fe890c915213c6ee58528f8358a26,2025-08-19 10:31:49,"מוטיבציה יומית:
כל מה שאתה רוצה קיים כבר עכשיו. 
תאמין בעצמך, תחשוב שזה שלך, תרגיש שזה כבר שלך. אם ״תרצה״ את זה ותחשוב ״למה זה עדיין לא שלי״ זה רק ילך ויתרחק ממך.

*חדשות מהרגע |  איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,35e2c21accfcc917aff4412ff28f3447,0fbd458499e3285d7536418a289d70f7,2025-08-19 10:33:58,"יו""ר ועדת חוץ וביטחון החדש ליוסי דגן: ""ריבונות חשובה מנורמליזציה"". יו""ר הוועדה הנכנס ח""כ בועז  ביסמוט קיים את סיורו הרשמי הראשון - בשומרון. הוא סייר בישובים יחד עם ראש המועצה יוסי דגן, והצהיר: ""להחיל ריבונות, זה הכרעה ונצחון, ובזכותך יוסי זה גם ייעשה. אני מעריך ואוהב אותך"". דגן אמר לו: ""מול הצונאמי מדיני – הניצחון האמיתי הוא החלת ריבונות"" (יניר קוזין - גלי צה''ל)

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,video/mp4,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,08d72baeb9a0995367410a844d46adf1,0fbd458499e3285d7536418a289d70f7,2025-08-19 10:50:29,"*קטאר: ""תגובת חמאס כמעט זהה למתווה שישראל  הסכימה לו בעבר""*

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,cadda432ebff3e63c19c99ec123cd309,8d9fe890c915213c6ee58528f8358a26,2025-08-19 11:09:21,"בחור הישיבה  מ”נזר ישראל” שנעצר הלילה - שוחרר לפני זמן קצר לאחר דיון משמעתי, כך מסר עו”ד שלמה חדד

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,e7503361165b1e733b512b779f3eb1af,0fbd458499e3285d7536418a289d70f7,2025-08-19 11:21:07,"*בקואליציה מגנים את דברי גוטליב*

שיקלי: ""זו התבטאות חמורה. אין שום מקום לזילות שואה ולהטחת עלבונות באנשי משמר בתי המשפט""

וסרלאוף: ""מבקש סליחה מעומק ליבי ממשמר בתי המשפט על דבריה המביישים המשפילים והנוראיים של טלי גוטליב""

*חדשות מהרגע | איכותי. ישיר.  מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,2b3ffa78f3f9e4993c34e28abe7dfc68,0fbd458499e3285d7536418a289d70f7,2025-08-19 11:24:10,"מפחיד:😱
נמר זינק על  רכב תיירים- ונשך נער בן 13
(ישראל היום)

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,video/mp4,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,177383c2b3cb79afcd31430946152b48,8d9fe890c915213c6ee58528f8358a26,2025-08-19 11:26:05,"מבוכה לספרד:
*""הצניחה לעזה  מזון מקולקל ובשר חזיר""*
(N12)

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,video/mp4,6.0,0.49916805324459235
f59f79ba6bb282764c9f3c0ab576520b,"*חדשות מהרגע הינם קבוצות ווטסאפ המספקות עדכונים וחדשות מהארץ ומהעולם הישר אליכם לנייד 🪀📱*
*כמו כן עולים בערוץ עדכונים חיים מאירועים ביטחוניים, פח''ע וכו' ⭕*

*התכנים שעולים בערוץ הינם על פי סעיף 27 א לזכויות יוצרים ⚠️*

לידיעתכם, בקבוצות נשלחות פרסומות מעת לעת אשר משולבות בין העדכונים.
מערכת חדשות מהרגע אינה אחראית על הפרסומות או על המוצרים המשווקים",חדשות מהרגע 113,723,1648479976,True,2025-08-05 08:48:09,ימין,יהודים חילונים,חדשות ואקטואליה,חדשות מהרגע,חדשות ארציות - ימין,,,c38fb491b0a61f952659a80bec298dbd,0fbd458499e3285d7536418a289d70f7,2025-08-19 11:39:27,"במימון איחוד האמירויות: התקדמות בפרויקט הנחת צינור המים ממצרים לאזור ח'אן  יונס  בדרום הרצועה.

*חדשות מהרגע | איכותי. ישיר. מעניין.*👇🔥
https://chat.whatsapp.com/DtKMJZT8V5sHOcSiAldm4d",,,,0.0,,video/mp4,6.0,0.49916805324459235
